rock,scissors,Laimejote
rock,rock,Lygiosios
rock,scissors,Laimejote
rock,paper,Pralaimejote
scissors,scissors,Lygiosios
scissors,scissors,Lygiosios
scissors,scissors,Lygiosios
scissors,scissors,Lygiosios
scissors,paper,Laimejote
scissors,scissors,Lygiosios
scissors,paper,Laimejote
rock,paper,Pralaimejote
rock,paper,Pralaimejote
rock,paper,Pralaimejote
rock,paper,Pralaimejote
rock,rock,Lygiosios
rock,rock,Lygiosios
rock,rock,Lygiosios
rock,scissors,Laimejote
rock,scissors,Laimejote
rock,rock,Lygiosios
rock,paper,Pralaimejote
rock,rock,Lygiosios
rock,paper,Pralaimejote
rock,rock,Lygiosios
rock,paper,Pralaimejote
rock,rock,Lygiosios
rock,rock,Lygiosios
rock,rock,Lygiosios
rock,rock,Lygiosios
rock,rock,Lygiosios
rock,scissors,Laimejote
rock,rock,Lygiosios
rock,paper,Pralaimejote
rock,scissors,Laimejote
rock,rock,Lygiosios
rock,rock,Lygiosios
rock,paper,Pralaimejote
rock,rock,Lygiosios
rock,paper,Pralaimejote
rock,scissors,Laimejote
rock,scissors,Laimejote
rock,scissors,Laimejote
rock,rock,Lygiosios
paper,rock,Laimejote
scissors,paper,Laimejote
rock,rock,Lygiosios
paper,rock,Laimejote
paper,scissors,Pralaimejote
rock,paper,Pralaimejote
rock,paper,Pralaimejote
rock,rock,Lygiosios
rock,paper,Pralaimejote
rock,scissors,Laimejote
rock,paper,Pralaimejote
rock,paper,Pralaimejote
paper,rock,Laimejote
paper,scissors,Pralaimejote
scissors,paper,Laimejote
scissors,scissors,Lygiosios
scissors,paper,Laimejote
scissors,paper,Laimejote
scissors,paper,Laimejote
scissors,paper,Laimejote
scissors,paper,Laimejote
scissors,paper,Laimejote
scissors,scissors,Lygiosios
scissors,scissors,Lygiosios
scissors,paper,Laimejote
scissors,paper,Laimejote
scissors,paper,Laimejote
scissors,scissors,Lygiosios
scissors,paper,Laimejote
scissors,paper,Laimejote
scissors,paper,Laimejote
